X,Y,Distancia,LabelLinea,Linea,Nodo,Nombre,Package,Ruta,Sublinea,ObjectId
-666246.317957971,4493379.77194939,3866,01,1,2,Menéndez Pelayo (Puerta Carmona),618,111,110,1
-666246.317957971,4493379.77194939,4014,21,21,2,Menéndez Pelayo (Puerta Carmona),618,2112,2110,2
-666246.317957971,4493379.77194939,2643,C3,83,2,Menéndez Pelayo (Puerta Carmona),618,8311,8310,3
-666246.317957971,4493379.77194939,9342,A1,101,2,Menéndez Pelayo (Puerta Carmona),618,10112,10110,4
-666246.317957971,4493379.77194939,9342,A1,101,2,Menéndez Pelayo (Puerta Carmona),618,10114,10111,5
-666246.317957971,4493379.77194939,6067,A3,103,2,Menéndez Pelayo (Puerta Carmona),618,10312,10310,6
-666246.317957971,4493379.77194939,6067,A3,103,2,Menéndez Pelayo (Puerta Carmona),618,10314,10311,7
-666246.317957971,4493379.77194939,7192,A8,110,2,Menéndez Pelayo (Puerta Carmona),618,11012,11010,8
-666246.317957971,4493379.77194939,7192,A8,110,2,Menéndez Pelayo (Puerta Carmona),618,11014,11011,9
-666360.655019597,4493069.25422835,4131,01,1,3,Menéndez Pelayo (Puerta de La Carne),618,111,110,10
-666360.655019597,4493069.25422835,4279,21,21,3,Menéndez Pelayo (Puerta de La Carne),618,2112,2110,11
-666360.655019597,4493069.25422835,2908,C3,83,3,Menéndez Pelayo (Puerta de La Carne),618,8311,8310,12
-666360.655019597,4493069.25422835,9607,A1,101,3,Menéndez Pelayo (Puerta de La Carne),618,10112,10110,13
-666360.655019597,4493069.25422835,9607,A1,101,3,Menéndez Pelayo (Puerta de La Carne),618,10114,10111,14
-666360.655019597,4493069.25422835,7457,A8,110,3,Menéndez Pelayo (Puerta de La Carne),618,11012,11010,15
-666360.655019597,4493069.25422835,7457,A8,110,3,Menéndez Pelayo (Puerta de La Carne),618,11014,11011,16
-666550.314388654,4492607.50302776,5075,05,5,4,Menéndez Pelayo (Juzgados) [C][M],618,512,510,17
-666550.314388654,4492607.50302776,4675,21,21,4,Menéndez Pelayo (Juzgados) [C][M],618,2112,2110,18
-666550.314388654,4492607.50302776,10003,A1,101,4,Menéndez Pelayo (Juzgados) [C][M],618,10112,10110,19
-666550.314388654,4492607.50302776,10003,A1,101,4,Menéndez Pelayo (Juzgados) [C][M],618,10114,10111,20
-666550.314388654,4492607.50302776,6728,A3,103,4,Menéndez Pelayo (Juzgados) [C][M],618,10312,10310,21
-666550.314388654,4492607.50302776,6728,A3,103,4,Menéndez Pelayo (Juzgados) [C][M],618,10314,10311,22
-666550.314388654,4492607.50302776,11273,A4,104,4,Menéndez Pelayo (Juzgados) [C][M],618,10412,10410,23
-666550.314388654,4492607.50302776,11273,A4,104,4,Menéndez Pelayo (Juzgados) [C][M],618,10414,10411,24
-666550.314388654,4492607.50302776,7853,A8,110,4,Menéndez Pelayo (Juzgados) [C][M],618,11012,11010,25
-666550.314388654,4492607.50302776,7853,A8,110,4,Menéndez Pelayo (Juzgados) [C][M],618,11014,11011,26
-666816.941612118,4491974.76581297,526,34,34,5,Avda. María Luisa (Teatro Lope de Vega),618,3411,3410,27
-666816.941612118,4491974.76581297,540,C1,81,5,Avda. María Luisa (Teatro Lope de Vega),618,8112,8110,28
-666816.941612118,4491974.76581297,655,A7,107,5,Avda. María Luisa (Teatro Lope de Vega),618,10711,10710,29
-666816.941612118,4491974.76581297,726,A7,107,5,Avda. María Luisa (Teatro Lope de Vega),618,10713,10711,30
-665481.310702558,4486383.85836148,8638,CJ,128,6,Palmas Altas,618,12811,12810,31
-665481.310702558,4486383.85836148,0,CJ,128,6,Palmas Altas,618,12812,12810,32
-667256.454516974,4495220.61974395,8224,13,13,8,Calatrava (Alameda de Hércules),618,1312,1310,33
-667256.454516974,4495220.61974395,3169,14,14,8,Calatrava (Alameda de Hércules),618,1412,1410,34
-667256.454516974,4495220.61974395,6640,A7,107,8,Calatrava (Alameda de Hércules),618,10711,10710,35
-667256.454516974,4495220.61974395,6711,A7,107,8,Calatrava (Alameda de Hércules),618,10713,10711,36
-668375.779254931,4492970.91662197,2766,43,43,12,San Jorge (Altozano),618,4312,4310,37
-668577.59424484,4493257.38090398,2461,43,43,13,Castilla (Procurador),618,4312,4310,38
-666303.964221945,4498553.03298917,15608,03,3,14,Navarra (Larache),618,311,310,39
-668134.153320432,4494489.90779388,7394,06,6,15,Torneo (Baños),618,612,610,40
-668134.153320432,4494489.90779388,5199,C3,83,15,Torneo (Baños),618,8312,8310,41
-668134.153320432,4494489.90779388,3210,A2,102,15,Torneo (Baños),618,10211,10210,42
-668134.153320432,4494489.90779388,3583,A2,102,15,Torneo (Baños),618,10213,10211,43
-668134.153320432,4494489.90779388,5419,A7,107,15,Torneo (Baños),618,10711,10710,44
-668134.153320432,4494489.90779388,5490,A7,107,15,Torneo (Baños),618,10713,10711,45
-667705.52206278,4495121.72744133,8004,06,6,16,Torneo (Puerta de San Juan),618,612,610,46
-667705.52206278,4495121.72744133,5809,C3,83,16,Torneo (Puerta de San Juan),618,8312,8310,47
-667705.52206278,4495121.72744133,3820,A2,102,16,Torneo (Puerta de San Juan),618,10211,10210,48
-667705.52206278,4495121.72744133,4193,A2,102,16,Torneo (Puerta de San Juan),618,10213,10211,49
-667705.52206278,4495121.72744133,6029,A7,107,16,Torneo (Puerta de San Juan),618,10711,10710,50
